Altium Designer Pick and Place Locations
C:\Users\hans\Documents\Altium\shepherd_v2\Project Outputs\Pick Place\Pick Place for shepherd_pcb_v2.5d_panel.csv

========================================================================================================================
File Design Information:

Date:       06/03/25
Time:       15:25
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Manufacturer PN","Value"
"U35","UD_NLAS4684-MN","TopLayer","PSON50P300X100_HS-11N","64,8040","49,3000","0","NLAS4684MNR2G",""
"U34","UD_PI5A4157ZU","TopLayer","SON35P100X60-6N","72,2240","35,2000","0","PI5A4157ZUEX",""
"U33","UD_NLAS4684-MN","TopLayer","PSON50P300X100_HS-11N","70,2040","49,0000","0","NLAS4684MNR2G",""
"U32","UA_OPA388-DBV","TopLayer","SOT95P280X145-5N","50,9240","46,6000","270","OPA388IDBVR",""
"U31","Ud_74HC4066-BQ","TopLayer","PQFN50P250X300X100_HS-15N","67,5240","53,9000","0","74HC4066BQ,115",""
"U30","Ud_74HC4066-BQ","TopLayer","PQFN50P250X300X100_HS-15N","72,4740","54,8000","0","74HC4066BQ,115",""
"U29","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","69,4240","17,7001","0","74LVC2T45GT,115",""
"U28","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","58,8240","22,5001","0","74LVC2T45GT,115",""
"U27","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","56,1240","27,4001","0","74LVC2T45GT,115",""
"U26","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","69,4240","20,8001","0","74LVC2T45GT,115",""
"U25","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","56,1240","31,6001","0","74LVC2T45GT,115",""
"U24","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","69,4240","24,3001","0","74LVC2T45GT,115",""
"U23","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","67,6240","30,9001","0","74LVC2T45GT,115",""
"U22","LT3487","TopLayer","PSON50P300X100_HS-11N","28,1240","50,4000","0","LT3487EDD#TRPBF",""
"U21","LP2989-3.3","TopLayer","TSOP65P490X110-8N","35,7240","26,7000","0","LP2989AIMM-3.3/NOPB",""
"U20","MP3221","TopLayer","SOT95P280X100-6N","26,6240","41,7000","180","MP3221GJ-Z",""
"U19","LP2989-5.0","TopLayer","TSOP65P490X110-8N","38,1240","31,5000","0","LP2989AIMM-5.0/NOPB",""
"U18","TPL5010","TopLayer","SOT95P280X100-6N","29,5240","18,0000","0","TPL5010DDCR",""
"U17","Ud_CAT24C256-HU","TopLayer","PSON50P300X55_HS-9N","34,9240","22,3000","0","CAT24C256HU4IGT3",""
"U16","UD_PI5A4157ZU","TopLayer","SON35P100X60-6N","74,3240","22,6000","0","PI5A4157ZUEX",""
"U15","HCT2G04","TopLayer","SOT65P210X110-6N","80,1240","38,8000","180","74HC2G04GW,125",""
"U14","TC7WH08FK","TopLayer","TSSOP50P310X80-8N","81,1240","35,8500","0","TC7WH08FK,LJ(CT",""
"U13","UD_NLAS4684-MN","TopLayer","PSON50P300X100_HS-11N","64,8240","45,3000","0","NLAS4684MNR2G",""
"U12","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","67,7240","34,9001","0","74LVC2T45GT,115",""
"U11","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","67,7240","37,9001","0","74LVC2T45GT,115",""
"U10","UA_OPA388-DBV","TopLayer","SOT95P280X145-5N","67,5240","41,7000","0","OPA388IDBVR",""
"U9","UD_PI5A4157ZU","TopLayer","SON35P100X60-6N","60,8240","28,9000","0","PI5A4157ZUEX",""
"U8","UD_PI5A4157ZU","TopLayer","SON35P100X60-6N","72,2240","37,2000","0","PI5A4157ZUEX",""
"U7","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","58,8240","18,4001","0","74LVC2T45GT,115",""
"U6","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","48,4240","21,4001","0","74LVC2T45GT,115",""
"U5","UP_TPS62913","TopLayer","VQFN50P200X200X100_HS-10N","24,4240","24,4125","180","TPS62913RPUR",""
"U4","ADS8691","TopLayer","TSOP65P640X120-16N","48,0240","39,4000","180","ADS8691IPWR",""
"U3","AD8421B","TopLayer","TSOP65P490X110-8N","57,0240","44,0000","270","AD8421BRMZ",""
"U2","Ua_DAC8562-DSC","TopLayer","PSON50P300X80_HS-11N","44,4240","49,7000","270","DAC8562SDSCR",""
"U1","OPA2388","TopLayer","TSOP65P490X110-8N","50,1240","52,3000","180","OPA2388IDGKR",""
"T2","BSH105","TopLayer","SOT95P230X110-3N","18,5240","25,3000","90","BSH105,215",""
"T1","BSH105","TopLayer","SOT95P230X110-3N","35,6240","18,0500","0","BSH105,215",""
"R134","R_0402_1k","TopLayer","RESC1005X04","29,2240","57,3000","270","ERJ-2GEJ102X","1k"
"R133","R_0402_1k","TopLayer","RESC1005X04","30,2240","57,3000","270","ERJ-2GEJ102X","1k"
"R132","R_0402_100R","TopLayer","RESC1005X04","58,0240","48,5000","180","ERJ-2GEJ101X","100R"
"R131","R_0402_100R","TopLayer","RESC1005X04","56,0240","48,5000","0","ERJ-2GEJ101X","100R"
"R130","R_0402_210R_0.1%","TopLayer","RESC1005X04","54,6240","52,9000","270","RT0402BRD07210RL","210R"
"R129","R_0402_10R","TopLayer","RESC1005X04","57,4240","52,4000","0","ERJ-2GEJ100X","10R"
"R128","R_0402_100k_1%","TopLayer","RESC1005X04","55,6240","52,9000","90","ERJ-2RKF1003X","100k"
"R127","R_0402_1k","TopLayer","RESC1005X04","63,5240","57,3000","270","ERJ-2GEJ102X","1k"
"R126","R_0402_1k","TopLayer","RESC1005X04","62,3240","57,3000","90","ERJ-2GEJ102X","1k"
"R125","R_0402_1k","TopLayer","RESC1005X04","61,3240","57,3000","270","ERJ-2GEJ102X","1k"
"R124","R_0402_1k","TopLayer","RESC1005X04","60,3240","57,3000","90","ERJ-2GEJ102X","1k"
"R123","R_0402_240R","TopLayer","RESC1005X04","50,6240","20,4000","0","ERJ-2GEJ241X","240R"
"R122","R_0402_240R","TopLayer","RESC1005X04","71,0240","20,4000","270","ERJ-2GEJ241X","240R"
"R121","R_0402_240R","TopLayer","RESC1005X04","71,5240","24,5000","0","ERJ-2GEJ241X","240R"
"R120","R_0402_240R","TopLayer","RESC1005X04","60,4240","23,9000","90","ERJ-2GEJ241X","240R"
"R119","R_0402_240R","TopLayer","RESC1005X04","60,4240","21,9000","270","ERJ-2GEJ241X","240R"
"R118","R_0402_240R","TopLayer","RESC1005X04","57,8240","33,1000","90","ERJ-2GEJ241X","240R"
"R117","R_0402_240R","TopLayer","RESC1005X04","69,2240","30,3000","270","ERJ-2GEJ241X","240R"
"R116","R_0402_240R","TopLayer","RESC1005X04","69,2240","32,3000","90","ERJ-2GEJ241X","240R"
"R115","R_0402_240R","TopLayer","RESC1005X04","69,2240","34,4000","270","ERJ-2GEJ241X","240R"
"R114","R_0402_240R","TopLayer","RESC1005X04","69,2240","37,5000","270","ERJ-2GEJ241X","240R"
"R113","R_0402_1k","TopLayer","RESC1005X04","77,3240","36,9000","0","ERJ-2GEJ102X","1k"
"R112","R_0402_1k","TopLayer","RESC1005X04","77,3240","38,0000","0","ERJ-2GEJ102X","1k"
"R111","R_0402_100k_1%","TopLayer","RESC1005X04","31,4240","51,9000","180","ERJ-2RKF1003X","100k"
"R110","R_0402_240k_1%","TopLayer","RESC1005X04","31,4240","50,9000","0","ERJ-2RKF2403X","240k"
"R109","R_0402_470R","TopLayer","RESC1005X04","33,2240","50,5000","270","ERJ-2RKF4700X","470R"
"R108","R_0402_240k_1%","TopLayer","RESC1005X04","33,2240","48,5000","270","ERJ-2RKF2403X","240k"
"R107","R_0402_1k","TopLayer","RESC1005X04","28,2240","57,3000","90","ERJ-2GEJ102X","1k"
"R106","R_0402_470R","TopLayer","RESC1005X04","42,2240","24,7000","180","ERJ-2RKF4700X","470R"
"R105","R_0402_100k_1%","TopLayer","RESC1005X04","29,2240","42,1000","90","ERJ-2RKF1003X","100k"
"R104","R_0402_680k_1%","TopLayer","RESC1005X04","30,2240","42,1000","270","ERJ-2RKF6803X","680k"
"R103","R_0402_10k","TopLayer","RESC1005X04","33,1240","57,3000","90","RC0402FR-7W10KL","10k"
"R102","R_0402_10k","TopLayer","RESC1005X04","17,9240","23,0000","180","RC0402FR-7W10KL","10k"
"R101","R_0402_100k_1%","TopLayer","RESC1005X04","25,9240","17,4000","90","ERJ-2RKF1003X","100k"
"R100","R_0402_470R","TopLayer","RESC1005X04","17,9240","27,6000","0","ERJ-2RKF4700X","470R"
"R99","R_0402_24k","TopLayer","RESC1005X04","27,0240","17,4000","90","ERJ-2GEJ243X","24k"
"R98","R_0402_100k_1%","TopLayer","RESC1005X04","33,4240","18,5000","90","ERJ-2RKF1003X","100k"
"R97","R_0402_10k","TopLayer","RESC1005X04","17,9240","21,9000","0","RC0402FR-7W10KL","10k"
"R96","R_0402_10k","TopLayer","RESC1005X04","31,9240","23,6000","0","RC0402FR-7W10KL","10k"
"R95","R_0402_10k","TopLayer","RESC1005X04","31,9240","22,6000","0","RC0402FR-7W10KL","10k"
"R94","R_0402_1k","TopLayer","RESC1005X04","46,1240","57,3000","90","ERJ-2GEJ102X","1k"
"R93","R_0402_1k","TopLayer","RESC1005X04","26,0240","57,3000","90","ERJ-2GEJ102X","1k"
"R92","R_0402_1k","TopLayer","RESC1005X04","47,2240","57,3000","90","ERJ-2GEJ102X","1k"
"R91","R_0402_1k","TopLayer","RESC1005X04","27,0240","57,3000","90","ERJ-2GEJ102X","1k"
"R90","R_0402_10k","TopLayer","RESC1005X04","31,9240","21,6000","180","RC0402FR-7W10KL","10k"
"R89","R_0402_10k","TopLayer","RESC1005X04","37,9240","22,5000","0","RC0402FR-7W10KL","10k"
"R88","R_0402_10k","TopLayer","RESC1005X04","42,0240","17,3100","90","RC0402FR-7W10KL","10k"
"R87","R_0402_10k","TopLayer","RESC1005X04","40,9240","17,3000","90","RC0402FR-7W10KL","10k"
"R86","R_0402_33R","TopLayer","RESC1005X04","58,5240","57,3000","270","ERJ-2GEJ330X","33R"
"R85","R_0402_33R","TopLayer","RESC1005X04","57,5240","57,3000","270","ERJ-2GEJ330X","33R"
"R84","R_0402_1k","TopLayer","RESC1005X04","44,6240","17,3000","90","ERJ-2GEJ102X","1k"
"R83","R_0402_1k","TopLayer","RESC1005X04","45,7240","17,3000","270","ERJ-2GEJ102X","1k"
"R82","R_0402_1k","TopLayer","RESC1005X04","46,1240","20,4000","180","ERJ-2GEJ102X","1k"
"R81","R_0402_33R","TopLayer","RESC1005X04","51,0240","17,3000","90","ERJ-2GEJ330X","33R"
"R80","R_0402_1k","TopLayer","RESC1005X04","56,5240","21,6000","180","ERJ-2GEJ102X","1k"
"R79","R_0402_1k","TopLayer","RESC1005X04","67,1240","22,5000","180","ERJ-2GEJ102X","1k"
"R78","R_0402_33R","TopLayer","RESC1005X04","66,3240","57,3000","90","ERJ-2GEJ330X","33R"
"R77","R_0402_33R","TopLayer","RESC1005X04","67,3240","57,3000","90","ERJ-2GEJ330X","33R"
"R76","R_0402_33R","TopLayer","RESC1005X04","54,5240","17,3000","90","ERJ-2GEJ330X","33R"
"R75","R_0402_33R","TopLayer","RESC1005X04","52,3240","17,3000","90","ERJ-2GEJ330X","33R"
"R74","R_0402_33R","TopLayer","RESC1005X04","53,4240","17,3000","270","ERJ-2GEJ330X","33R"
"R73","R_0402_10R","TopLayer","RESC1005X04","71,5240","41,6000","0","ERJ-2GEJ100X","10R"
"R72","R_0402_33R","TopLayer","RESC1005X04","55,2240","57,3000","90","ERJ-2GEJ330X","33R"
"R71","R_0402_33R","TopLayer","RESC1005X04","49,9240","17,3000","90","ERJ-2GEJ330X","33R"
"R70","R_0402_1k","TopLayer","RESC1005X04","56,5240","17,7000","180","ERJ-2GEJ102X","1k"
"R69","R_0402_33R","TopLayer","RESC1005X04","52,4240","57,3000","90","ERJ-2GEJ330X","33R"
"R68","R_0402_1k","TopLayer","RESC1005X04","48,5240","17,3000","90","ERJ-2GEJ102X","1k"
"R67","R_0402_1k","TopLayer","RESC1005X04","56,3240","57,3000","270","ERJ-2GEJ102X","1k"
"R66","R_0402_1k","TopLayer","RESC1005X04","47,4240","17,3000","90","ERJ-2GEJ102X","1k"
"R65","R_0402_1k","TopLayer","RESC1005X04","39,2240","17,3000","90","ERJ-2GEJ102X","1k"
"R64","R_0402_1k","TopLayer","RESC1005X04","38,1240","17,3100","270","ERJ-2GEJ102X","1k"
"R63","R_0402_1k","TopLayer","RESC1005X04","65,6240","33,9000","180","ERJ-2GEJ102X","1k"
"R62","R_0402_1k","TopLayer","RESC1005X04","37,8240","57,3000","90","ERJ-2GEJ102X","1k"
"R61","R_0402_1k","TopLayer","RESC1005X04","35,3240","57,3000","270","ERJ-2GEJ102X","1k"
"R60","R_0402_1k","TopLayer","RESC1005X04","36,4240","57,3000","90","ERJ-2GEJ102X","1k"
"R59","R_0402_1k","TopLayer","RESC1005X04","31,9240","57,3000","270","ERJ-2GEJ102X","1k"
"R58","R_0402_1k","TopLayer","RESC1005X04","71,5240","40,5000","0","ERJ-2GEJ102X","1k"
"R57","R_0402_1k","TopLayer","RESC1005X04","78,5240","35,3000","270","ERJ-2GEJ102X","1k"
"R56","R_0402_1k","TopLayer","RESC1005X04","82,2240","38,2000","90","ERJ-2GEJ102X","1k"
"R55","R_0402_240R","TopLayer","RESC1005X04","50,6240","21,4000","0","ERJ-2GEJ241X","240R"
"R54","R_0402_100k_1%","TopLayer","RESC1005X04","72,0240","17,4000","90","ERJ-2RKF1003X","100k"
"R53","R_0402_240R","TopLayer","RESC1005X04","71,0240","17,4000","270","ERJ-2GEJ241X","240R"
"R52","R_0402_100k_1%","TopLayer","RESC1005X04","67,1240","17,9000","180","ERJ-2RKF1003X","100k"
"R51","R_0402_240R","TopLayer","RESC1005X04","71,5240","23,5000","0","ERJ-2GEJ241X","240R"
"R50","R_0402_100k_1%","TopLayer","RESC1005X04","67,1240","23,5000","180","ERJ-2RKF1003X","100k"
"R49","R_0402_100k_1%","TopLayer","RESC1005X04","72,0240","20,4000","90","ERJ-2RKF1003X","100k"
"R48","R_0402_100k_1%","TopLayer","RESC1005X04","67,1240","21,1000","180","ERJ-2RKF1003X","100k"
"R47","R_0402_100k_1%","TopLayer","RESC1005X04","67,1240","24,5000","180","ERJ-2RKF1003X","100k"
"R46","R_0402_100k_1%","TopLayer","RESC1005X04","46,1240","21,4000","180","ERJ-2RKF1003X","100k"
"R45","R_0402_100k_1%","TopLayer","RESC1005X04","61,4240","21,9000","90","ERJ-2RKF1003X","100k"
"R44","R_0402_100k_1%","TopLayer","RESC1005X04","46,1240","22,4000","180","ERJ-2RKF1003X","100k"
"R43","R_0402_100k_1%","TopLayer","RESC1005X04","61,4240","23,9000","270","ERJ-2RKF1003X","100k"
"R42","R_0402_100k_1%","TopLayer","RESC1005X04","58,8240","28,9000","270","ERJ-2RKF1003X","100k"
"R41","R_0402_240R","TopLayer","RESC1005X04","57,8240","28,9000","90","ERJ-2GEJ241X","240R"
"R40","R_0402_100k_1%","TopLayer","RESC1005X04","58,8240","31,1000","90","ERJ-2RKF1003X","100k"
"R39","R_0402_240R","TopLayer","RESC1005X04","57,8240","31,1000","270","ERJ-2GEJ241X","240R"
"R38","R_0402_100k_1%","TopLayer","RESC1005X04","58,8240","33,1000","270","ERJ-2RKF1003X","100k"
"R37","R_0402_100k_1%","TopLayer","RESC1005X04","70,2240","30,3000","90","ERJ-2RKF1003X","100k"
"R36","R_0402_100k_1%","TopLayer","RESC1005X04","53,8240","32,1000","180","ERJ-2RKF1003X","100k"
"R35","R_0402_100k_1%","TopLayer","RESC1005X04","70,2240","32,3000","270","ERJ-2RKF1003X","100k"
